Date,Return,Centered,Abs Value
1/3/2020,-0.007059871,-0.786209622,0.786209622
1/6/2020,0.003533394,0.273116868,0.273116868
1/7/2020,-0.002803209,-0.360543405,0.360543405
1/8/2020,0.004902415,0.410018961,0.410018961
1/9/2020,0.006655293,0.585306728,0.585306728
1/10/2020,-0.002855223,-0.365744883,0.365744883
1/13/2020,0.006976281,0.617405581,0.617405581
1/14/2020,-0.001514539,-0.231676411,0.231676411
1/15/2020,0.001870155,0.106792974,0.106792974
1/16/2020,0.008366547,0.756432174,0.756432174
1/17/2020,0.003862145,0.30599192,0.30599192
1/21/2020,-0.002651954,-0.345417973,0.345417973
1/22/2020,0.000289088,-0.051313761,0.051313761
1/23/2020,0.001140965,0.03387394,0.03387394
1/24/2020,-0.009042141,-0.984436597,0.984436597
1/27/2020,-0.015730685,-1.65329103,1.65329103
1/28/2020,0.010053551,0.925132566,0.925132566
1/29/2020,-0.000866847,-0.166907281,0.166907281
1/30/2020,0.003134356,0.233213027,0.233213027
1/31/2020,-0.017705853,-1.850807807,1.850807807
2/3/2020,0.007254644,0.645241876,0.645241876
2/4/2020,0.014980363,1.417813725,1.417813725
2/5/2020,0.011250641,1.044841517,1.044841517
2/6/2020,0.003325646,0.252342101,0.252342101
2/7/2020,-0.005400833,-0.620305874,0.620305874
2/10/2020,0.00732636,0.652413412,0.652413412
2/11/2020,0.001688499,0.088627337,0.088627337
2/12/2020,0.006462661,0.566043556,0.566043556
2/13/2020,-0.001630443,-0.243266827,0.243266827
2/14/2020,0.001843542,0.104131652,0.104131652
2/18/2020,-0.00291998,-0.372220557,0.372220557
2/19/2020,0.004705827,0.390360105,0.390360105
2/20/2020,-0.003815543,-0.461776818,0.461776818
2/21/2020,-0.010518109,-1.132033421,1.132033421
2/24/2020,-0.033513594,-3.431581994,3.431581994
2/25/2020,-0.030280016,-3.10822412,3.10822412
2/26/2020,-0.003778519,-0.458074416,0.458074416
2/27/2020,-0.044163279,-4.496550412,4.496550412
2/28/2020,-0.008238327,-0.904055281,0.904055281
3/2/2020,0.046039225,4.523699979,4.523699979
3/3/2020,-0.02810794,-2.891016564,2.891016564
3/4/2020,0.042202592,4.140036697,4.140036697
3/5/2020,-0.033922022,-3.472424761,3.472424761
3/6/2020,-0.01705391,-1.785613525,1.785613525
3/9/2020,-0.075969681,-7.677190621,7.677190621
3/10/2020,0.049396336,4.859411033,4.859411033
3/11/2020,-0.048868411,-4.967063637,4.967063637
3/12/2020,-0.09511268,-9.591490592,9.591490592
3/13/2020,0.092871195,9.206896908,9.206896908
3/16/2020,-0.119840503,-12.06427283,12.06427283
3/17/2020,0.059954822,5.915259679,5.915259679
3/18/2020,-0.051830823,-5.263304876,5.263304876
3/19/2020,0.004707894,0.39056683,0.39056683
3/20/2020,-0.043359523,-4.416174798,4.416174798
3/23/2020,-0.029293858,-3.009608381,3.009608381
3/24/2020,0.093827657,9.302543165,9.302543165
3/25/2020,0.01153502,1.073279435,1.073279435
3/26/2020,0.062414161,6.161193539,6.161193539
3/27/2020,-0.033687316,-3.448954176,3.448954176
3/30/2020,0.033516036,3.271381054,3.271381054
3/31/2020,-0.016012792,-1.681501741,1.681501741
4/1/2020,-0.044142398,-4.494462328,4.494462328
4/2/2020,0.022829387,2.202716131,2.202716131
4/3/2020,-0.015137125,-1.593934999,1.593934999
4/6/2020,0.070331304,6.952907867,6.952907867
4/7/2020,-0.001603045,-0.240527086,0.240527086
4/8/2020,0.034056426,3.32542006,3.32542006
4/9/2020,0.014487378,1.368515264,1.368515264
4/13/2020,-0.010104595,-1.090682001,1.090682001
4/14/2020,0.030572524,2.977029875,2.977029875
4/15/2020,-0.022030456,-2.283268159,2.283268159
4/16/2020,0.005816711,0.501448529,0.501448529
4/17/2020,0.026793592,2.599136638,2.599136638
4/20/2020,-0.017880997,-1.868322289,1.868322289
4/21/2020,-0.030674847,-3.147707208,3.147707208
4/22/2020,0.022930248,2.212802274,2.212802274
4/23/2020,-0.000539419,-0.134164409,0.134164409
4/24/2020,0.013918078,1.311585304,1.311585304
4/27/2020,0.014714073,1.391184775,1.391184775
4/28/2020,-0.00524235,-0.604457558,0.604457558
4/29/2020,0.026583874,2.578164891,2.578164891
4/30/2020,-0.00921242,-1.001464521,1.001464521
5/1/2020,-0.028059043,-2.886126893,2.886126893
5/4/2020,0.004249817,0.344759173,0.344759173
5/5/2020,0.009040574,0.823834808,0.823834808
5/6/2020,-0.006979403,-0.778162889,0.778162889
5/7/2020,0.011504624,1.070239817,1.070239817
5/8/2020,0.016871501,1.606927556,1.606927556
5/11/2020,0.000177487,-0.062473893,0.062473893
5/12/2020,-0.020543831,-2.134605684,2.134605684
5/13/2020,-0.017462684,-1.826490994,1.826490994
5/14/2020,0.011524823,1.072259724,1.072259724
5/15/2020,0.00392638,0.312415492,0.312415492
5/18/2020,0.031501205,3.069897928,3.069897928
5/19/2020,-0.010484409,-1.128663425,1.128663425
5/20/2020,0.016651043,1.584881768,1.584881768
5/21/2020,-0.007773564,-0.857578928,0.857578928
5/22/2020,0.002353731,0.155150576,0.155150576
5/26/2020,0.012289161,1.148693525,1.148693525
5/27/2020,0.014827343,1.402511756,1.402511756
5/28/2020,-0.002107947,-0.291017208,0.291017208
5/29/2020,0.00481231,0.401008456,0.401008456
6/1/2020,0.003751261,0.29490351,0.29490351
6/2/2020,0.008210804,0.740857851,0.740857851
6/3/2020,0.013648964,1.284673814,1.284673814
6/4/2020,-0.003368696,-0.417092155,0.417092155
6/5/2020,0.026211705,2.540947953,2.540947953
6/8/2020,0.012041591,1.123936594,1.123936594
6/9/2020,-0.007799183,-0.86014081,0.86014081
6/10/2020,-0.005313079,-0.611530423,0.611530423
6/11/2020,-0.058944122,-5.974634702,5.974634702
6/12/2020,0.013060857,1.225863195,1.225863195
6/15/2020,0.008312208,0.750998212,0.750998212
6/16/2020,0.018962431,1.816020513,1.816020513
6/17/2020,-0.0036003,-0.4402525,0.4402525
6/18/2020,0.000594189,-0.020803694,0.020803694
6/19/2020,-0.005649464,-0.645168907,0.645168907
6/22/2020,0.006495058,0.569283224,0.569283224
6/23/2020,0.004307442,0.350521619,0.350521619
6/24/2020,-0.025855159,-2.665738419,2.665738419
6/25/2020,0.01095947,1.015724451,1.015724451
6/26/2020,-0.024226918,-2.502914324,2.502914324
6/29/2020,0.014685698,1.388347269,1.388347269
6/30/2020,0.01540986,1.460763424,1.460763424
7/1/2020,0.005022111,0.421988538,0.421988538
7/2/2020,0.004541282,0.373905689,0.373905689
7/6/2020,0.015881738,1.507951295,1.507951295
7/7/2020,-0.010818563,-1.162078809,1.162078809
7/8/2020,0.007827502,0.7025277,0.7025277
7/9/2020,-0.00564364,-0.644586539,0.644586539
7/10/2020,0.010466205,0.966397908,0.966397908
7/13/2020,-0.00936252,-1.016474523,1.016474523
7/14/2020,0.013406355,1.260412973,1.260412973
7/15/2020,0.009082039,0.827981313,0.827981313
7/16/2020,-0.003406104,-0.420832978,0.420832978
7/17/2020,0.00284864,0.204641414,0.204641414
7/20/2020,0.008406905,0.760467993,0.760467993
7/21/2020,0.001679049,0.087682395,0.087682395
7/22/2020,0.005747091,0.49448657,0.49448657
7/23/2020,-0.012319827,-1.312205256,1.312205256
7/24/2020,-0.006190391,-0.699261628,0.699261628
7/27/2020,0.007395129,0.659290396,0.659290396
7/28/2020,-0.006473401,-0.727562647,0.727562647
7/29/2020,0.012428381,1.1626156,1.1626156
7/30/2020,-0.003750261,-0.455248631,0.455248631
7/31/2020,0.00767046,0.686823435,0.686823435
8/3/2020,0.007181027,0.637880123,0.637880123
8/4/2020,0.00361196,0.280973469,0.280973469
8/5/2020,0.00642974,0.562751467,0.562751467
8/6/2020,0.006427728,0.562550243,0.562550243
8/7/2020,0.000632995,-0.016923091,0.016923091
8/10/2020,0.002742236,0.194001035,0.194001035
8/11/2020,-0.007969123,-0.877134882,0.877134882
8/12/2020,0.013996502,1.319427692,1.319427692
8/13/2020,-0.002047125,-0.284935075,0.284935075
8/14/2020,-0.000171932,-0.097415728,0.097415728
8/17/2020,0.002709874,0.190764899,0.190764899
8/18/2020,0.002303378,0.150115215,0.150115215
8/19/2020,-0.004404416,-0.520664108,0.520664108
8/20/2020,0.003158659,0.235643345,0.235643345
8/21/2020,0.003441136,0.263891045,0.263891045
8/24/2020,0.010043684,0.92414581,0.92414581
8/25/2020,0.003596326,0.279410012,0.279410012
8/26/2020,0.010195666,0.939344074,0.939344074
8/27/2020,0.001673024,0.08707989,0.08707989
8/28/2020,0.006732577,0.593035121,0.593035121
8/31/2020,-0.002194977,-0.299720209,0.299720209
9/1/2020,0.007525048,0.672282233,0.672282233
9/2/2020,0.015365857,1.456363167,1.456363167
9/3/2020,-0.035125836,-3.592806185,3.592806185
9/4/2020,-0.008132999,-0.893522459,0.893522459
9/8/2020,-0.027756379,-2.855860428,2.855860428
9/9/2020,0.020145025,1.934279952,1.934279952
9/10/2020,-0.017584791,-1.838701609,1.838701609
9/11/2020,0.000533063,-0.026916204,0.026916204
9/14/2020,0.012741809,1.193958307,1.193958307
9/15/2020,0.005219386,0.441716016,0.441716016
9/16/2020,-0.004618958,-0.542118347,0.542118347
9/17/2020,-0.008412372,-0.921459707,0.921459707
9/18/2020,-0.01118257,-1.198479565,1.198479565
9/21/2020,-0.011571124,-1.237334976,1.237334976
9/22/2020,0.010517942,0.971571692,0.971571692
9/23/2020,-0.023721411,-2.452363685,2.452363685
9/24/2020,0.002987408,0.218518233,0.218518233
9/25/2020,0.015976763,1.517453786,1.517453786
9/28/2020,0.016110549,1.530832311,1.530832311
9/29/2020,-0.004812627,-0.561485226,0.561485226
9/30/2020,0.008253709,0.745148392,0.745148392
10/1/2020,0.005292893,0.44906678,0.44906678
10/2/2020,-0.009571699,-1.037392446,1.037392446
10/5/2020,0.017975535,1.717330943,1.717330943
10/6/2020,-0.013988025,-1.479024996,1.479024996
10/7/2020,0.017405793,1.660356755,1.660356755
10/8/2020,0.008007136,0.72049102,0.72049102
10/9/2020,0.008790686,0.798846048,0.798846048
